date_of_measurement,TVD_Nr,Birth,sex,breed,horns,horizontal,vertical,frontal_bone,bone_form,bone_form_curvature,other,age
06/05/13,120024038857,04/11/2002,w,Braunvieh,no,29.00,18.50,8.00,B,E,nichts,13.05
06/05/13,120032901723,26/01/2003,w,Rotfleckvieh,no,26.00,17.00,11.00,B,E,nichts,12.83
22/04/13,120024382011,29/03/2003,w ,Braunvieh,yes,30.00,19.00,13.00,C,C,Fett,12.66
22/04/13,120010876494,10/04/2003,w,Braunvieh,yes,32.00,19.00,13.00,C,C,Fett,12.62
25/03/13,120035001444,10/07/2003,w,"Kreuzung: M. Braunvieh, V. Holstein",no,29.00,19.10,10.50,B,E,Fell,12.38
22/04/13,120031546406,10/07/2003,w,Rotfleckvieh,no,30.00,17.00,7.00,B,E,nichts,12.38
25/03/13,120037364738,17/07/2003,w,Braunvieh,yes,27.00,19.00,15.00,A,A,nichts,12.36
22/04/13,120033744756,18/09/2003,w,Braunvieh,yes,28.00,19.50,14.00,A,A,nichts,12.18
25/03/13,120025057116,28/09/2003,w,Braunvieh,no,27.00,19.20,NA,B,B,nichts,12.16
25/03/13,120039244939,02/10/2003,w,Braunvieh,no,26.00,18.50,8.00,B,E,nichts,12.15
22/04/13,120037014008,18/11/2003,w,Braunvieh,no,27.50,17.50,9.00,A,D,nichts,12.02
22/04/13,120036870698,28/11/2003,w,Braunvieh,no,28.00,20.00,9.00,A,A,nichts,11.99
06/05/13,120037711679,01/01/2004,w,"Kreuzung: M. Holstein, V. Rotfleck",no,30.00,18.50,4.00,B,E,Fett,11.90
25/03/13,120040389506,27/01/2004,w,Rotfleckvieh,no,28.00,19.10,NA,B,E,Fell,11.82
25/03/13,120039026146,08/03/2004,w,Braunvieh,no,24.50,19.40,11.00,C,C,nichts,11.71
25/03/13,120037364851,09/04/2004,w,Braunvieh,yes,30.00,20.80,13.50,A,D,Fell,11.62
25/03/13,120032692638,15/04/2004,w,Braunvieh,yes,27.00,17.50,NA,C,C,nichts,11.61
06/05/13,120041768652,07/05/2004,w,Braunvieh,yes,28.00,16.00,13.00,A,D,nichts,11.55
22/04/13,120039534597,19/06/2004,w,"Kreuzung: M. Braunvieh, V. Rotfleckvieh",no,28.00,19.50,9.00,B,E,nichts,11.43
06/05/13,120032953531,03/08/2004,w,Braunvieh,no,29.00,20.00,11.00,B,E,nichts,11.31
25/03/13,120045585873,15/08/2004,w,Braunvieh,yes,26.00,18.00,NA,C,C,nichts,11.27
06/05/13,120041153786,16/08/2004,w,Braunvieh,no,26.00,20.00,8.00,B,E,nichts,11.27
22/04/13,120041060091,27/08/2004,w,Rotfleckvieh,no,28.00,19.00,11.00,B,E,Fett,11.24
06/05/13,120042762529,31/08/2004,w,Braunvieh,yes,30.00,18.00,12.00,C,C,nichts,11.23
25/03/13,120037370142,06/09/2004,w,Braunvieh,yes,24.60,18.80,NA,A,A,sehr kleine Hörnlöcher,11.21
25/03/13,120042025600,07/09/2004,w,Rotfleckvieh,no,26.20,19.50,11.00,C,F,nichts,11.21
25/03/13,120042901447,11/10/2004,w,Braunvieh,no,26.00,20.70,10.00,C,F,nichts,11.12
22/04/13,120045457446,20/11/2004,w,Braunvieh,yes,29.00,19.50,11.00,A,A,nichts,11.01
25/03/13,120034763534,21/11/2004,w,Holstein,no,25.40,18.60,NA,C,F,nichts,11.01
06/05/13,120028654015,25/11/2004,w,Braunvieh,yes,30.00,18.50,10.00,A,A,Fett,11.00
25/03/13,120048109939,22/12/2004,w,Braunvieh,no,28.00,18.90,8.00,B,E,Fell,10.92
06/05/13,120042602061,28/12/2004,w,Braunvieh,no,30.00,18.00,8.00,C,C,Fett,10.90
25/03/13,120037370265,24/01/2005,w,Braunvieh,no,29.00,21.00,NA,B,E,Fell,10.83
22/04/13,120038686600,29/01/2005,w,Braunvieh,yes,30.00,18.50,12.00,C,C,nichts,10.82
25/03/13,120034181314,04/03/2005,w,Braunvieh,yes,30.00,20.60,NA,C,C,Fell,10.72
25/03/13,120045840644,23/03/2005,w,Braunvieh,yes,28.50,19.40,NA,A,A,Fell,10.67
25/03/13,120050279972,29/03/2005,w,Braunvieh,no,27.00,17.90,NA,B,E,Fell,10.66
06/05/13,120041013387,28/04/2005,w,Braunvieh,yes,26.00,17.00,14.00,C,C,nichts,10.57
06/05/13,120045584296,29/04/2005,w,Braunvieh,no,29.00,18.50,9.00,B,E,Fett,10.57
22/04/13,120040257034,05/05/2005,w,Braunvieh,no,28.00,18.00,11.00,A,D,nichts,10.55
25/03/13,120046317527,17/05/2005,w,Rotfleckvieh,no,25.00,18.50,NA,C,D,nichts,10.52
25/03/13,120046737523,03/06/2005,w,Holstein,no,25.00,19.00,NA,B,D,nichts,10.48
22/04/13,120051517066,10/07/2005,w,Braunvieh,no,30.00,20.00,8.00,B,D,nichts,10.37
06/05/13,120044558007,31/07/2005,w,Braunvieh,no,31.00,23.00,9.00,A,A,Fett,10.32
06/05/13,120046575897,02/08/2005,w,Braunvieh,no,28.00,20.00,7.00,B,E,Fett,10.31
06/05/13,120038771016,03/08/2005,w,Braunvieh,no,27.00,17.00,8.00,B,E,Kante,10.31
25/03/13,120045129930,11/08/2005,w,Braunvieh,no,26.00,19.00,9.00,C,F,nichts,10.29
06/05/13,120051666917,27/09/2005,w,Braunvieh,no,27.00,21.00,8.00,B,E,nichts,10.16
06/05/13,120039950793,27/09/2005,w,"Kreuzung: M. Holstein, V. Rotfleck",no,27.00,16.00,6.00,B,E,nichts,10.16
06/05/13,120047055480,05/10/2005,w,Braunvieh,no,27.00,19.00,5.00,B,E,nichts,10.14
25/03/13,120051535770,06/11/2005,w,Braunvieh,no,28.30,19.50,11.00,A,D,nichts,10.05
06/05/13,120051166899,13/11/2005,w,Braunvieh,no,29.00,19.50,10.00,C,C,nichts,10.03
25/03/13,120048823873,16/11/2005,w,Holstein,no,26.50,18.50,NA,B,E,Fell,10.02
25/03/13,120053445275,13/12/2005,w,Braunvieh,no,27.50,18.70,NA,B,E,Fell,9.95
25/03/13,120051188549,23/12/2005,w,Rotfleckvieh,no,28.50,17.40,NA,C,F,Fell,9.92
25/03/13,120054695037,02/01/2006,w,Braunvieh,yes,27.50,19.50,16.00,A,A,nichts,9.89
22/04/13,120052420761,05/01/2006,w,Braunvieh,no,28.00,20.00,3.50,B,E,nichts,9.88
22/04/13,120050810076,21/01/2006,w,Rotfleckvieh,no,28.00,19.00,6.00,B,B,nichts,9.84
22/04/13,120050734907,22/01/2006,w,Braunvieh,yes,29.00,18.50,14.00,A,A,nichts,9.84
22/04/13,120047448268,21/02/2006,w,Braunvieh,no,29.00,21.00,9.00,A,A,Fett,9.75
22/04/13,120049860242,04/03/2006,w,Braunvieh,yes,29.00,19.50,12.00,C,C,nichts,9.72
22/04/13,120032670551,09/03/2006,w,Holstein,no,28.00,19.00,9.00,A,D,nichts,9.71
06/05/13,120042054389,21/03/2006,w,Braunvieh,no,30.00,18.00,10.00,C,F,nichts,9.68
22/04/13,120052115964,29/03/2006,w,Rotfleckvieh,no,28.00,17.00,10.00,A,D,Fett,9.66
06/05/13,120053815849,03/04/2006,w,Braunvieh,yes,31.00,20.00,12.00,C,C,Fett,9.64
06/05/13,120039950830,03/04/2006,w,"Kreuzung: M. Holstein, V. Rotfleck",no,25.00,16.00,7.00,B,E,nichts,9.64
25/03/13,120055856765,17/05/2006,w,Braunvieh,no,28.00,19.10,11.50,C,C,nichts,9.52
25/03/13,120053003055,02/06/2006,w,Braunvieh,no,26.00,19.00,9.00,B,B,nichts,9.48
06/05/13,120048636978,13/06/2006,w,Braunvieh,yes,26.00,18.00,8.00,B,B,nichts,9.45
22/04/13,120053157093,28/06/2006,w,Braunvieh,no,31.00,22.00,11.00,B,E,Fett,9.41
22/04/13,120057079131,03/07/2006,w,Rotfleckvieh,no,28.00,18.00,8.00,A,D,nichts,9.39
22/04/13,120057804641,24/07/2006,w,Braunvieh,no,30.00,20.00,8.00,A,A,nichts,9.34
06/05/13,120056303138,29/07/2006,w,Braunvieh,yes,29.00,19.00,13.00,C,C,Fett,9.32
25/03/13,120055991688,06/08/2006,w,Rotfleckvieh,no,27.20,18.20,NA,C,F,nichts,9.30
22/04/13,120052979627,09/08/2006,w,Braunvieh,no,29.00,19.00,7.00,B,E,nichts,9.29
25/03/13,120051283985,01/09/2006,w,Holstein,no,27.00,17.10,NA,B,E,nichts,9.23
25/03/13,120054737119,14/09/2006,w,Holstein,no,28.00,20.10,11.00,C,F,nichts,9.19
25/03/13,120055874745,24/09/2006,w ,"Kreuzung: M. Hinterwälder, V. Jersey",yes,25.50,15.20,NA,B,B,nichts,9.17
25/03/13,120054331355,15/10/2006,w,Braunvieh,no,25.50,18.80,NA,B,E,nichts,9.11
06/05/13,120046704563,30/10/2006,w,Braunvieh,no,27.00,18.50,9.00,C,F,nichts,9.07
25/03/13,120055166628,04/11/2006,w,Braunvieh,yes,29.00,20.20,NA,A,A,Fell,9.05
25/03/13,120057987030,05/11/2006,w,Braunvieh,no,30.00,18.80,10.00,A,D,nichts,9.05
25/03/13,120056267409,06/11/2006,w,"Kreuzung: M. unbekannt, V. Braunvieh",yes,29.00,18.20,15.00,A,A,Fell,9.05
22/04/13,120050724519,11/11/2006,w,Braunvieh,no,26.00,19.50,11.00,C,C,Stummelhorn,9.03
06/05/13,120051680371,18/11/2006,w,Braunvieh,no,31.00,19.00,10.00,A,D,Fett,9.02
25/03/13,120056552055,22/11/2006,w,Rotfleckvieh,no,28.00,17.20,NA,B,B,Fell,9.00
22/04/13,120058058500,22/11/2006,w,Rotfleckvieh,no,27.00,18.50,4.00,B,B,nichts,9.00
25/03/13,120055166642,24/11/2006,w,Braunvieh,yes,28.50,17.90,NA,C,C,Fell,9.00
06/05/13,120060284911,06/12/2006,w,Rotfleckvieh,no,29.00,17.50,10.00,A,D,nichts,8.97
25/03/13,120052564465,30/12/2006,w,Braunvieh,no,30.00,23.00,13.00,B,B,Fell,8.90
25/03/13,120052564472,06/01/2007,w,Braunvieh,no,27.50,18.70,12.50,A,D,nichts,8.88
22/04/13,120044752139,22/01/2007,w,Braunvieh,no,29.50,19.00,9.00,A,A,nichts,8.84
06/05/13,120057296453,23/01/2007,w,Braunvieh,no,28.00,19.00,7.00,B,E,nichts,8.84
06/05/13,120061759999,27/01/2007,w,Rotfleckvieh,yes,29.00,19.00,9.00,C,F,Fett,8.82
06/05/13,120056326076,13/02/2007,w,Braunvieh,no,27.00,15.50,10.00,A,A,nichts,8.78
22/04/13,120057127115,19/02/2007,w,Braunvieh,yes,34.00,19.00,12.00,A,A,Haut,8.76
25/03/13,120048831076,03/03/2007,w,Braunvieh,no,29.50,19.90,12.00,A,A,Fell,8.73
25/03/13,120050192981,08/03/2007,w,Braunvieh,yes,24.00,19.00,15.00,C,C,Fell,8.71
22/04/13,120055776209,17/03/2007,w,Braunvieh,no,28.00,19.00,13.00,A,D,nichts,8.69
06/05/13,120062433812,05/04/2007,w,Holstein,no,29.00,17.00,9.00,B,E,nichts,8.64
22/04/13,120060130775,16/06/2007,w,Rotfleckvieh,no,30.00,18.00,8.00,A,D,nichts,8.44
06/05/13,120061247083,27/06/2007,w,Braunvieh,no,27.00,17.50,9.00,C,C,nichts,8.41
25/03/13,120063164098,11/07/2007,w,Braunvieh,no,27.30,19.90,NA,B,B,nichts,8.37
06/05/13,120059622892,27/07/2007,w,Braunvieh,no,30.00,17.00,10.00,C,F,Fett,8.33
25/03/13,120057779857,30/07/2007,w,Braunvieh,yes,28.00,22.80,NA,A,A,nichts,8.32
22/04/13,120062382189,07/08/2007,w,Braunvieh,no,26.00,16.00,9.00,C,F,nichts,8.30
25/03/13,120061782997,15/08/2007,w,Rotfleckvieh,no,27.00,17.60,12.00,B,E,nichts,8.28
25/03/13,120052742399,20/08/2007,w,Braunvieh,yes,28.00,19.80,14.50,C,C,nichts,8.26
06/05/13,120057024025,13/09/2007,w,Braunvieh,no,28.00,19.00,6.00,A,D,nichts,8.20
25/03/13,120053569018,14/09/2007,w,Braunvieh,no,30.00,19.00,12.00,B,B,Fell,8.19
25/03/13,120061599205,22/09/2007,w,Braunvieh,no,25.80,21.90,NA,B,B,nichts,8.17
22/04/13,120066436505,27/09/2007,w,Braunvieh,no,27.00,19.50,9.50,B,E,nichts,8.16
25/03/13,120054781402,01/10/2007,w,Braunvieh,no,26.50,19.20,NA,B,E,nichts,8.15
06/05/13,120065364724,03/10/2007,w,Braunvieh,yes,28.00,16.00,10.00,A,A,Fett,8.14
22/04/13,120065026301,17/10/2007,w,Braunvieh,yes,34.00,19.00,9.50,A,D,nichts,8.10
25/03/13,120066904127,29/10/2007,w,Braunvieh,no,27.30,19.50,10.50,B,B,nichts,8.07
06/05/13,120063136927,10/11/2007,w,Braunvieh,no,27.00,19.50,9.00,B,E,nichts,8.04
25/03/13,120060210163,18/11/2007,w,Braunvieh,no,26.00,19.00,NA,B,B,nichts,8.02
06/05/13,120063393153,06/12/2007,w,Braunvieh,no,28.00,18.00,7.00,A,D,nichts,7.97
25/03/13,120065539429,10/12/2007,w,Braunvieh,no,26.20,20.40,11.00,A,A,nichts,7.96
06/05/13,120064544059,10/12/2007,w,Braunvieh,no,27.00,17.00,9.00,C,C,nichts,7.96
06/05/13,120057845781,24/12/2007,w,Braunvieh,no,27.00,17.50,6.00,B,E,nichts,7.92
22/04/13,120064274222,28/12/2007,w,Braunvieh,no,26.00,18.00,8.00,B,E,nichts,7.91
06/05/13,120058911515,05/01/2008,w,Braunvieh,yes,27.00,18.00,10.00,C,C,Fett,7.89
06/05/13,120068774902,10/01/2008,w,Holstein,no,31.00,19.00,10.00,B,B,Fett,7.87
06/05/13,120069455923,31/01/2008,w,Braunvieh,yes,32.00,19.50,15.00,A,A,Fett,7.81
25/03/13,120058220389,07/02/2008,w,Braunvieh,no,29.00,17.50,9.00,B,E,Haut,7.79
22/04/13,120069464208,02/03/2008,w,Rotfleckvieh,no,29.00,18.00,10.00,B,E,nichts,7.73
25/03/13,120060189186,15/03/2008,w,Braunvieh,yes,29.00,20.30,NA,A,A,Fell,7.69
25/03/13,120066813153,16/04/2008,w,Braunvieh,no,28.00,19.00,11.50,C,F,Fell,7.61
22/04/13,120070233695,16/05/2008,w,Braunvieh,no,30.00,18.00,6.00,A,A,nichts,7.52
25/03/13,120052994651,24/05/2008,w,Braunvieh,no,26.00,19.20,NA,B,E,nichts,7.50
25/03/13,120052994668,26/05/2008,w,Braunvieh,no,27.00,19.20,NA,B,E,nichts,7.50
25/03/13,120066933363,27/06/2008,w,Braunvieh,no,26.00,20.00,12.00,B,E,nichts,7.41
22/04/13,120049093251,17/07/2008,w ,Rotfleckvieh,no,29.00,18.00,5.00,B,B,nichts,7.35
06/05/13,120067952479,17/07/2008,w,Braunvieh,no,28.00,18.00,9.00,A,A,nichts,7.35
25/03/13,120067835857,26/07/2008,w,Braunvieh,no,27.20,20.40,NA,C,C,nichts,7.33
25/03/13,120072092955,07/08/2008,w,Braunvieh,yes,26.50,16.50,14.00,B,E,nichts,7.30
06/05/13,120071006212,27/08/2008,w,Braunvieh,no,29.00,18.00,7.00,B,E,nichts,7.24
22/04/13,120046969283,03/09/2008,w,Braunvieh,no,28.00,20.00,10.00,B,E,nichts,7.22
06/05/13,120071818280,03/09/2008,w,Braunvieh,no,29.00,17.00,7.00,B,B,Fett,7.22
06/05/13,120065376468,13/09/2008,w,Braunvieh,no,28.00,18.00,8.00,A,A,nichts,7.20
25/03/13,120052994859,15/09/2008,w,Braunvieh,no,28.50,18.90,NA,B,E,Stummelhorn,7.19
22/04/13,120049757269,15/09/2008,w,Braunvieh,no,28.00,19.50,6.00,A,D,nichts,7.19
06/05/13,120067200013,16/09/2008,w,Braunvieh,no,27.00,19.00,14.00,C,C,nichts,7.19
25/03/13,120064994052,17/09/2008,w,Braunvieh,yes,30.00,20.00,15.50,C,C,Fell,7.18
25/03/13,120053570793,22/09/2008,w,Braunvieh,no,28.00,18.40,NA,A,A,nichts,7.17
06/05/13,120067761910,24/09/2008,w,Rotfleckvieh,no,28.00,18.50,7.00,B,E,Fett,7.16
22/04/13,120069526104,02/10/2008,w,Rotfleckvieh,no,30.00,21.00,9.50,B,E,Fett,7.14
25/03/13,120071532360,03/10/2008,w,Braunvieh,no,28.60,19.50,NA,B,B,nichts,7.14
25/03/13,120074008299,08/10/2008,w,Braunvieh,no,25.20,19.00,10.00,B,E,nichts,7.13
25/03/13,120076115490,23/11/2008,w,Rotfleckvieh,no,26.50,19.50,NA,B,B,nichts,7.00
25/03/13,120076655910,09/12/2008,w,Swiss Fleckvieh (M. und V. Rotfleckvieh),no,26.50,18.80,10.50,C,F,Fell,6.96
25/03/13,120074434357,10/12/2008,w,Braunvieh,no,26.60,18.80,NA,B,B,nichts,6.95
06/05/13,120074436719,09/01/2009,w,Braunvieh,yes,30.00,18.00,12.00,C,C,nichts,6.87
06/05/13,120076280662,13/01/2009,w,Braunvieh,no,28.00,18.00,13.00,C,F,nichts,6.86
25/03/13,120076254274,14/01/2009,w,Braunvieh,no,26.50,18.50,14.30,A,A,nichts,6.86
25/03/13,120074342775,17/01/2009,w,Rotfleckvieh,no,26.00,18.40,8.00,B,E,nichts,6.85
06/05/13,120077992793,25/01/2009,w,Braunvieh,no,27.00,19.00,6.00,B,E,nichts,6.83
22/04/13,120079082676,07/02/2009,w,Braunvieh,no,29.00,19.00,9.00,A,D,nichts,6.79
22/04/13,120071850747,07/02/2009,w,Braunvieh,yes,20.00,18.00,7.00,A,A,nichts,6.79
22/04/13,120080408281,19/02/2009,w,Braunvieh,yes,28.00,16.00,12.00,A,D,Fett,6.76
25/03/13,120077601237,28/02/2009,w,Braunvieh,no,26.00,17.50,8.00,B,E,nichts,6.74
22/04/13,120076613903,01/03/2009,w,Rotfleckvieh,no,24.00,17.00,8.00,B,B,nichts,6.73
22/04/13,120074154996,07/03/2009,w,Braunvieh,no,28.00,17.50,10.00,A,D,nichts,6.72
25/03/13,120080062391,17/03/2009,w,Hinterwälder,no,27.00,18.20,NA,B,E,nichts,6.69
06/05/13,120076025638,26/03/2009,w,Braunvieh,yes,29.00,17.00,11.00,C,C,nichts,6.66
